Lp.;Nazwa Muzeum;Kod pocztowy;Miejscowość;ul./Al./Pl./;Ulica;Numer domu;Numer lokalu;Nazwa Organizatora /Założyciela;Data wpisu do Państwowego Rejestru Muzeów (dotyczy Muzeum wpisanego do Państwowego Rejestru Muzeów);Status muzeum
135;Muzeum Okręgowe w Sieradzu;98-200;Sieradz;ul.;Dominikańska;2;;Powiat Sieradzki ;;Samorządowe
136;Muzeum Okręgowe w Suwałkach;16-400;Suwałki;ul.;T. Kościuszki;81;;Miasto Suwałki;"12.02.2014 r.";Samorządowe
137;Muzeum Okręgowe w Tarnowie;33-100;Tarnów;ul.;Rynek;3;;Województwo Małopolskie;28.11.2002;Samorządowe
138;Muzeum Okręgowe w Toruniu;87-100;Toruń;ul.;Rynek Staromiejski;1;;Gmina Miasta Toruń;28.12.1998;Samorządowe
139;Muzeum Okręgowe Ziemi Kaliskiej w Kaliszu;62-800;Kalisz;ul.;T. Kościuszki;12;;Województwo Wielkopolskie;28.12.1998;Samorządowe
140;Muzeum - Orawski Park Etnograficzny  w Zubrzycy Górnej;34-484;Zubrzyca Górna;;Zubrzyca Górna;388;;Województwo Małopolskie;31.01.2011;Samorządowe
141;Muzeum Oręża Polskiego w Kołobrzegu;78-100;Kołobrzeg;ul.;Armii Krajowej;13;;Powiat Kołobrzeski;18.05.1998;Samorządowe
142;Muzeum Pamięci Narodowej i Sztuki Ludowej w Ochotnicy Górnej  (w organizacji);34-453;Ochotnica Dolna;oś. ;Zawady;205 B;;Gmina Ochotnica Dolna ;;Samorządowe
143;Muzeum Pamiątek 1. Armii Wojska Polskiego oraz Dziejów Ziemi Mieszkowickiej w Mieszkowicach;74-505;Mieszkowice;ul.;Chopina;1;;Gmina Mieszkowice;;Samorządowe
144;Muzeum Pamięci Sybiru - Muzeum w organizacji;15-092;Białystok;ul. ;H. Sienkiewicza;26;;Miasto Białystok ;;Samorządowe
145;Muzeum Papiernictwa w Dusznikach Zdroju;57-340;Duszniki Zdrój;ul.;Kłodzka;42;;Województwo Dolnośląskie;28.06.2013 ;Samorządowe
146;Muzeum Pierwszych Piastów na Lednicy;62-261;Lednogóra;ul.;Dziekanowice;32;; Województwo Wielkopolskie;28.12.1999;Samorządowe
147;Muzeum Piśmiennictwa i Muzyki Kaszubsko-Pomorskiej w Wejherowie;84-200;Wejherowo;ul.;Zamkowa;2a;;Powiat Wejherowski;07.07.2006;Samorządowe
148;Muzeum Początków Państwa Polskiego  w Gnieźnie;62-200;Gniezno;ul.;Kostrzewskiego;1;;Województwo Wielkopolskie;06.07.1998;Samorządowe
149;Muzeum Poczty i Telekomunikacji we Wrocławiu;50-954;Wrocław;ul.;Z. Krasińskiego;1;;Województwo Dolnośląskie;;Samorządowe
150;Muzeum Podkarpackie w Krośnie;38-400;Krosno;ul.;Piłsudskiego;16;;Województwo Podkarpackie ;18.12.2003;Samorządowe
151;Muzeum Podlaskie w Białymstoku;15-426;Białystok;ul.;Rynek Kościuszki;10;;Województwo Podlaskie;18.12.2003;Samorządowe
152;Muzeum Pogranicza Śląsko – Łużyckiego w Żarach ;68-200;Żary;ul.;Ogrodowa;2;;Gmina Żary ;;Samorządowe
153;Muzeum Pojezierza Łęczyńsko-Włodawskiego we Włodawie;22-200;Włodawa;ul.;Czerwonego Krzyża;7;;Powiat Włodawski;;Samorządowe
154;Muzeum Pojezierza Myśliborskiego w Myśliborzu;74-300;Myślibórz;ul.;Bohaterów Warszawy;74;;Gmina Myślibórz ;;Samorządowe
155;Muzeum Polskiej Piosenki w Opolu  (w organizacji);45–040;Opole;pl.;Mikołaja Kopernika;1;;Miasto Opole;;Samorządowe
156;Muzeum Południowego Podlasia w Białej Podlaskiej;21-500;Biała Podlaska;ul.;Warszawska;12;;Gmina Miejska Biała Podlaska ;28.12.1998;Samorządowe
157;Muzeum Pomorza Środkowego w Słupsku;76-200;Słupsk;ul.;Dominikańska;5;-9;Województwo Pomorskie ;06.07.1998;Samorządowe
158;Muzeum Powstania Warszawskiego;00-844;Warszawa;ul.;Grzybowska;79;;Miasto Stołeczne Warszawa;21.09.2005;Samorządowe
159;Muzeum Powstań Śląskich w Świętochłowicach ;41-600;Świętochłowice;ul.;Szpitalna;2;;Gmina Świętochłowice ;;Samorządowe
160;Muzeum Pożarnictwa w Oseredku ;22-672 ;Susiec;;Oseredek;123;;Gmina Susiec;;Samorządowe
161;Muzeum Północno – Mazowieckie w Łomży;18-400;Łomża;ul.;Dworna;22C;;Miasto Łomża ;15.07.2011;Samorządowe
162;Muzeum Przyrodnicze w Jeleniej Górze;58-560;Jelenia Góra;ul.;Cieplicka;11A;;Miasto Jelenia Góra ;;Samorządowe
163;Muzeum Przyrody w Drozdowie;18-421;Piątnica;ul.;Główna;38;;Powiat Łomżyński ;;Samorządowe
164;Muzeum Przyrody i Techniki Ekomuzeum im. Jana Pazdura w Starachowicach;27-200;Starachowice;ul.;Wielkopiecowa;1;;Powiat Starachowicki ;;Samorządowe
165;Muzeum Puszczy Drawskiej i Noteckiej im. Franciszka Grasia w Drezdenku;66-530;Drezdenko;pl.;Wolności;11;;Gmina Drezdenko ;;Samorządowe
166;Muzeum Regionalne im. Adama Fastnachta w Brzozowie;36-200;Brzozów;ul.;Rynek;10;;Gmina Brzozów;;Samorządowe
167;Muzeum Regionalne im. dr. Henryka Florkowskiego w Kościanie;64-000;Kościan;ul.;Rynek;1;;Gmina Miejska Kościan;;Samorządowe
168;Muzeum Regionalne im. dr. Janusza Petera w Tomaszowie Lubelskim;22-600;Tomaszów Lubelski;ul.;Zamojska;2;;Powiat Tomaszowski (Tomaszów Lubelski);;Samorządowe
169;Muzeum Regionalne im. Dzieci Wrzesińskich we Wrześni ;62-300;Września;ul.;Dzieci Wrzesińskich;13;;Miasto i Gmina Września;;Samorządowe
170;Muzeum Regionalne im. Hieronima Ławniczaka w Krotoszynie;63-700;Krotoszyn;ul.;Mały Rynek;1;;Miasto i Gmina Krotoszyn;;Samorządowe
171;Muzeum Regionalne im. prof. Tomasza Mikockiego w Kozienicach;26-900;Kozienice;ul.;Parkowa;5B;;Gmina Kozienice;;Samorządowe
172;Muzeum Regionalne im. Stanisława Sankowskiego w Radomsku ;97-500;Radomsko;ul.;Narutowicza;1;;Miasto Radomsko ;;Samorządowe
173;Muzeum Regionalne im. Walentyny Dermackiej z Sapiehów w Pieckach (w organizacji);11-710;Piecki;ul.;Zwycięstwa;48;;Gmina Piecki;;Samorządowe
174;Muzeum Regionalne im. Wł. St. Reymonta w Lipcach Reymontowskich;96-127;Lipce Reymontowskie;ul.;Wiatraczna;10;;Powiat Skierniewicki;;Samorządowe
175;Muzeum Regionalne im. Zygmunta Krasińskiego w Złotym Potoku;42-253;Złoty Potok (poczta Janów);ul.;Tadeusza Kościuszki;11;;Gmina Janów;;Samorządowe
176;Muzeum Regionalne w Bełchatowie;97-400;Bełchatów;ul.;Rodziny Hellwigów;11;;Miasto Bełchatów;;Samorządowe
177;Muzeum Regionalne w Brzezinach;95-060;Brzeziny;ul.;Piłsudskiego;49;;Gmina Miasto Brzeziny;;Samorządowe
178;Muzeum Regionalne w Chojnowie;59-225;Chojnów;pl.;Zamkowy;3;;Miasto Chojnów;;Samorządowe
179;Muzeum Regionalne w Człuchowie;77-300;Człuchów;al.;Wojska Polskiego;3;;Gmina Miejska Człuchów;;Samorządowe
180;Muzeum Regionalne w Dębicy;39-200;Dębica;ul.;Ratuszowa;4;;Gmina Miasta Dębica;;Samorządowe
181;Muzeum Regionalne w Gniewkowie;88-140;Gniewkowo;ul.;Podgórna;2;;Gmina Gniewkowo;;Samorządowe
182;Muzeum Regionalne w Janowie Lubelskim;23-300;Janów Lubelski;ul.;Ogrodowa;3a;;Gmina Janów Lubelski;;Samorządowe
183;Muzeum Regionalne w Jaśle;38-200;Jasło;ul.;Stefana Kadyiego;11;;Miasto Jasło;;Samorządowe
184;Muzeum Regionalne w Jaworze ;59-400;Jawor;ul.;Klasztorna;6;;Gmina Jawor;;Samorządowe
185;Muzeum Regionalne w Kluczkowicach;24-300;Kluczkowice;ul.;Kluczkowice;7;;Powiat Opolski;;Samorządowe
186;Muzeum Regionalne w Krasnymstawie;22-300;Krasnystaw;ul.;Marszałka Józefa Piłsudskiego;5A;;Powiat Krasnostawski;;Samorządowe
187;Muzeum Regionalne w Kutnie;99-300;Kutno;pl.;Józefa Piłsudskiego;20;;Miasto Kutno;;Samorządowe
188;Muzeum Regionalne w Lubaniu;59-800;Lubań;;Rynek - Ratusz ;;;Gmina Miejska Lubań;;Samorządowe
189;Muzeum Regionalne w Łukowie;21-400;Łuków;ul.;Piłsudskiego;19;;Powiat Łukowski;;Samorządowe
190;Muzeum Regionalne w Opocznie;26-300;Opoczno;pl.;Zamkowy;1;;Gmina Opoczno;;Samorządowe
191;Muzeum Regionalne w Pińczowie;28-400;Pińczów;ul.;Piłsudskiego;2a;;Gmina Pińczów;;Samorządowe
192;Muzeum Regionalne w Pleszewie;63-300;Pleszew;ul.;Poznańska;34;;Miasto i Gmina Pleszew;;Samorządowe
193;Muzeum Regionalne w Pułtusku;06-100;Pułtusk;ul.;Rynek;1;;Gmina Pułtusk;;Samorządowe
194;Muzeum Regionalne w Siedlcach;08-110;Siedlce;ul.;Piłsudskiego;1;;Województwo Mazowieckie;;Samorządowe
195;Muzeum Regionalne w Skawinie;32-050;Skawina;ul.;Adama Mickiewicza;26;;Miasto i Gmina Skawina;;Samorządowe
196;Muzeum Regionalne w Słupcy;62-400;Słupca;ul.;Warszawska;53;;Gmina Miejska Słupca;;Samorządowe
197;Muzeum Regionalne w Stalowej Woli;37-464;Stalowa Wola;ul.;Sandomierska;1;;Gmina Stalowa Wola;21.09.2005;Samorządowe
198;Muzeum Regionalne w Stęszewie;62-060;Stęszew;ul.;Rynek;8;;Gmina Stęszew;;Samorządowe
199;Muzeum Regionalne w Szczecinku;78-400;Szczecinek;ul.;Szkolna;1;;Miasto Szczecinek ;;Samorządowe
200;Muzeum Regionalne w Środzie Śląskiej;55-300;Środa Śląska;pl.;Wolności;3;;Powiat Średzki;;Samorządowe
201;Muzeum Regionalne w Świebodzinie;66-200;Świebodzin;Plac;Jana Pawła II;1;;Gmina Świebodzin;;Samorządowe
202;Muzeum Regionalne w Trzebnicy;55-100;Trzebnica;ul.;Rynek;8;;Gmina Trzebnica;;Samorządowe
203;Muzeum Regionalne w Zwoleniu;26-700;Zwoleń;Aleja;Jana Pawła II;2;;Gmina Zwoleń;;Samorządowe
